期数,序列数,BV号,视频标题,作者,播放量,点赞数,弹幕数,评论数,收藏数,分享数
344,31,BV1RWWrznEM4,特厨探店|卖128的干炒牛河长什么样？！—利苑,特厨隋坡,2576207,269435,5626,6096,12891,7556
344,32,BV16nWpz6Enz,我把门，改成了哈利波特的对角巷,天予睡过头,1115449,54261,350,416,9813,1204
344,33,BV16TWqz2EBj,猛攻金色大厅 《难得真兄弟》交响乐版（迫真）,熬粥丨粥长,4028086,347389,34989,6750,187048,44881
344,34,BV14sW9zuENb,爆改！如果银月当上新闻主播【慧小媛】,慧小媛,2078748,137764,4860,5191,9504,2183
344,35,BV1s3s7zKEft,普通的梨园丨洛天依、言和 X 梨园特别合作曲,燕云十六声官方,1271721,69944,500,3307,25071,8886
344,36,BV1DgsAzzE4y,高市早苗的疯狂,燕三嘤嘤嘤,3900106,155154,9400,4456,19811,3157
344,37,BV1vPWJzRE5P,万万没想到，现在的喜剧不好笑是因为……？【阅片有数·喜剧特别策划】,影评人毛尖,1100496,27149,6349,2044,11699,1336
344,38,BV1TkWrzuE8J,鲁豫&鸟鸟｜在睡眠逐渐透明的时代，如何找到自己的解法？,亚朵星球,1027060,4853,85,95,3252,336
344,39,BV1ULsAzKEuv,班班幼稚园 8，发现隐藏彩蛋！,鲤鱼Ace,2152740,125813,72058,13309,48726,2854
344,40,BV1Avs8zMEMF,真正的美国国运炸弹，是水危机？从资源枯竭到美国滞胀,世界见闻录,1988681,117542,13016,6478,24645,3423
344,41,BV1tzWnzSEdj,"""邻居屯粮，我屯邻居""",知了解压萌物,1035351,42272,909,497,4060,1171
344,42,BV1zDs3z5EFa,“难得有几个真兄弟，不散的情谊”,三点半官方,7535450,216077,17305,1521,90378,1916
344,43,BV16JsbzbEq8,旅行时装X的你......,OPPO,1708984,59528,2824,1948,4017,2439
344,44,BV1tqWEzVEKt,我要怎么说我不爱你6.0,小暮mumu,3649599,193449,474,1413,15844,2019
344,45,BV1XCWSzzESG,万能药？一口气看懂激素类药物商业发展史,咸鱼堡的医药海滩,848479,27406,700,900,8211,1005
343,1,BV1cz4JzkEzH,为了修复这几个大字，我竟然动用了一颗在轨卫星,略靠谱旅社,16365182,1473704,111245,19009,498832,27647
343,2,BV1fr4kzBEY1,【英雄联盟】2025英雄联盟全球总决赛主题曲《Sacrifice》（争）,英雄联盟,4633973,129905,18795,29328,34166,92488
343,3,BV1B5xkzPEhx,【正片】影视飓风TIM×罗永浩！用影像打开世界的梦想家,罗永浩的十字路口,5105154,294658,75514,8994,142092,56420
343,4,BV1p34TzVEPu,公  共  玩  具,无聊的一天Aboringday,11708582,335919,3163,3322,69578,7969
343,5,BV1mu4CzJExw,《灰境行者》首曝PV&实机演示丨一切恐怖，皆是财富！,灰境行者,12897540,321746,11085,21028,101741,121265
343,6,BV1xv4vz8EDp,老二次元超燃斗地主！,神奇的老皮,14428179,897172,8033,7369,751711,56531
343,7,BV1Ta4gzxE7i,《绝区零》卢西娅EP | DAMIDAMI,绝区零,4469080,333408,42346,16388,171902,62233
343,8,BV18R44zyEZn,"5亿年祖传Bug，""脊柱裂""为何在人类身上发生？-【冷却报告】",冷却报告,6445052,244211,7085,3961,125536,10487
343,9,BV1mR4PzLEfW,【MrBeast首发】100位小朋友对世界最强壮男人谁会赢,MrBeast官方账号,9354540,281211,15791,5198,118704,4946
343,10,BV1U34mzeEvd,从零开始的异国生活，我靠这三个邪修法“存活”了下来,塑料叉FOKU,5053551,30847,1339,1412,14524,1443
343,11,BV1EG4UzXEp4,S15MV讲了什么？来点细节彩蛋分析！,聒噪的山海君,1147526,50386,6765,2239,7761,11934
343,12,BV1Bb41z5Eac,【IGN】PC版《释放阿凡达》实机预告,IGN中国,4191812,130592,53078,20046,26261,114200
343,13,BV1ep4AzEE7d,原创曲《Ai的记忆》“当人类为机械流泪时 机械就会有了心跳”,月底没钱君,2710799,256046,3057,7027,95214,14550
